user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GL_R68_GL53_UP_2_O4.1.1_sub.contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp002150205	GCF_002150205.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp002150205	96.19	0.68	GCF_002150205.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp002150205	96.19	0.68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_003350545.1, s__Flavobacterium glaciei, 95.0, 81.13, 0.47; GCF_004349085.1, s__Flavobacterium sp004349085, 95.0, 80.47, 0.39; GCF_003312425.1, s__Flavobacterium psychrolimnae, 95.0, 80.41, 0.47; GCF_003314435.2, s__Flavobacterium sp003314435, 95.0, 80.4, 0.48; GCF_002754315.1, s__Flavobacterium sp002754315, 95.0, 80.15, 0.47; GCF_003634755.1, s__Flavobacterium limicola, 95.0, 80.11, 0.47; GCF_900110375.1, s__Flavobacterium sinopsychrotolerans, 95.0, 80.01, 0.47; GCF_004349195.1, s__Flavobacterium sp004349195, 95.0, 79.77, 0.43; GCF_900112975.1, s__Flavobacterium xueshanense, 95.0, 79.62, 0.43; GCF_004349135.1, s__Flavobacterium sp004349135, 95.0, 79.6, 0.45; GCF_900099915.1, s__Flavobacterium omnivorum, 95.0, 79.57, 0.42; GCF_004349315.1, s__Flavobacterium sp004349315, 95.0, 79.54, 0.43; GCF_900143245.1, s__Flavobacterium fryxellicola, 95.0, 79.53, 0.4; GCF_000744835.1, s__Flavobacterium sp000744835, 95.0, 79.47, 0.37; GCF_900142695.1, s__Flavobacterium xanthum, 95.0, 79.42, 0.43; GCA_007097285.1, s__Flavobacterium sp007097285, 95.0, 79.36, 0.34; GCF_000812945.1, s__Flavobacterium sp000812945, 95.0, 79.3, 0.4; GCF_003968755.1, s__Flavobacterium sp003968755, 95.0, 79.29, 0.41; GCF_900142885.1, s__Flavobacterium xinjiangense, 95.0, 79.18, 0.35; GCF_003634825.1, s__Flavobacterium sp003634825, 95.0, 79.09, 0.33; GCF_900108015.1, s__Flavobacterium urumqiense, 95.0, 79.01, 0.36; GCF_001662485.1, s__Flavobacterium succinicans_A, 95.0, 78.91, 0.25; GCF_003688495.1, s__Flavobacterium weaverense, 95.0, 78.75, 0.34; GCF_004349145.1, s__Flavobacterium sp004349145, 95.0, 78.72, 0.29; GCF_000425505.1, s__Flavobacterium frigidarium, 95.0, 78.65, 0.29; GCF_900129585.1, s__Flavobacterium micromati, 95.0, 78.62, 0.35; GCF_000252125.1, s__Flavobacterium frigoris_A, 95.0, 78.59, 0.29; GCF_900129705.1, s__Flavobacterium granuli, 95.0, 78.56, 0.3; GCF_900129575.1, s__Flavobacterium segetis, 95.0, 78.55, 0.36; GCA_007097245.1, s__Flavobacterium sp007097245, 95.0, 78.51, 0.28; GCA_007097385.1, s__Flavobacterium sp007097385, 95.0, 78.48, 0.32; GCA_002280815.1, s__Flavobacterium sp002280815, 95.0, 78.46, 0.25; GCF_003097655.1, s__Flavobacterium sp003097655, 95.0, 78.46, 0.29; GCF_900111075.1, s__Flavobacterium frigoris, 95.0, 78.45, 0.32; GCF_900106645.1, s__Flavobacterium degerlachei, 95.0, 78.42, 0.29; GCF_002813295.1, s__Flavobacterium sp002813295, 95.0, 78.38, 0.29; GCF_003254745.1, s__Flavobacterium sp003254745, 95.0, 78.37, 0.26; GCF_002222055.1, s__Flavobacterium araucananum, 95.0, 78.36, 0.28; GCF_002797935.1, s__Flavobacterium sp002797935, 95.0, 78.35, 0.28; GCF_002001005.1, s__Flavobacterium sp002001005, 95.0, 78.35, 0.28; GCF_003688345.1, s__Flavobacterium sp003688345, 95.0, 78.33, 0.28; GCF_002754195.1, s__Flavobacterium sp002754195, 95.0, 78.33, 0.3; GCF_003668995.1, s__Flavobacterium sp003668995, 95.0, 78.33, 0.3; GCF_001686925.1, s__Flavobacterium piscis, 95.0, 78.31, 0.29; GCF_000737695.1, s__Flavobacterium hydatis, 95.0, 78.3, 0.31; GCA_001800905.1, s__Flavobacterium sp001800905, 95.0, 78.28, 0.26; GCF_001027725.1, s__Flavobacterium sp001027725, 95.0, 78.26, 0.26; GCF_000611675.1, s__Flavobacterium succinicans, 95.0, 78.25, 0.25; GCF_001422725.1, s__Flavobacterium sp001422725, 95.0, 78.23, 0.31; GCF_002217285.1, s__Flavobacterium hercynium, 95.0, 78.22, 0.27; GCA_900129595.1, s__Flavobacterium frigidimaris, 95.0, 78.22, 0.27; GCF_003996965.1, s__Flavobacterium cupreum, 95.0, 78.21, 0.2; GCF_002836475.1, s__Flavobacterium sp002836475, 95.0, 78.2, 0.26; GCF_001427905.1, s__Flavobacterium sp001427905, 95.0, 78.19, 0.28; GCF_000813005.1, s__Flavobacterium sp000813005, 95.0, 78.19, 0.31; GCF_900107635.1, s__Flavobacterium gillisiae, 95.0, 78.19, 0.33; GCF_000832125.1, s__Flavobacterium hibernum, 95.0, 78.18, 0.29; GCF_000695795.1, s__Flavobacterium seoulense, 95.0, 78.18, 0.28; GCF_000426145.1, s__Flavobacterium sp000426145, 95.0, 78.16, 0.28; GCF_000708595.2, s__Flavobacterium sp000708595, 95.0, 78.15, 0.3; GCF_900142775.1, s__Flavobacterium flevense, 95.0, 78.15, 0.26; GCF_001404985.1, s__Flavobacterium aquidurense_B, 95.0, 78.12, 0.31; GCA_900107365.1, s__Flavobacterium aquidurense, 95.0, 78.12, 0.29; GCF_003096795.1, s__Flavobacterium sp003096795, 95.0, 78.11, 0.3; GCF_001975985.1, s__Flavobacterium sp001975985, 95.0, 78.11, 0.3; GCF_900142715.1, s__Flavobacterium pectinovorum, 95.0, 78.1, 0.3; GCF_002217355.1, s__Flavobacterium oncorhynchi, 95.0, 78.09, 0.29; GCF_000264055.1, s__Flavobacterium sp000264055, 95.0, 78.08, 0.27; GCF_004368785.1, s__Flavobacterium sp004368785, 95.0, 78.08, 0.3; GCF_001507425.1, s__Flavobacterium sp001507425, 95.0, 78.07, 0.3; GCA_002413745.1, s__Flavobacterium sp002413745, 95.0, 78.07, 0.25; GCF_001879205.1, s__Flavobacterium johnsoniae_A, 95.0, 78.06, 0.26; GCF_001857965.1, s__Flavobacterium commune, 95.0, 78.06, 0.27; GCF_004345565.1, s__Flavobacterium circumlabens, 95.0, 78.06, 0.23; GCF_004016525.1, s__Flavobacterium sp004016525, 95.0, 78.04, 0.28; GCF_003217415.1, s__Flavobacterium sp003217415, 95.0, 78.03, 0.33; GCF_001831475.1, s__Flavobacterium crassostreae, 95.0, 78.02, 0.23; GCF_003076455.1, s__Flavobacterium faecale, 95.0, 78.0, 0.22; GCF_004119495.1, s__Flavobacterium sp004119495, 95.0, 77.98, 0.29; GCA_002482975.1, s__Flavobacterium sp002482975, 95.0, 77.98, 0.27; GCF_002217395.1, s__Flavobacterium plurextorum, 95.0, 77.97, 0.28; GCF_001761465.1, s__Flavobacterium gilvum, 95.0, 77.97, 0.25; GCA_002382495.1, s__Flavobacterium sp002382495, 95.0, 77.97, 0.21; GCF_001428525.1, s__Flavobacterium sp001428525, 95.0, 77.93, 0.29; GCF_000282055.1, s__Flavobacterium sp000282055, 95.0, 77.92, 0.28; GCF_003202435.1, s__Flavobacterium sp003202435, 95.0, 77.9, 0.23; GCF_003385115.1, s__Flavobacterium aquicola, 95.0, 77.9, 0.26; GCF_004362015.1, s__Flavobacterium sp004362015, 95.0, 77.87, 0.3; GCF_001529295.1, s__Flavobacterium sp001529295, 95.0, 77.86, 0.26; GCA_007097365.1, s__Flavobacterium sp007097365, 95.0, 77.83, 0.25; GCF_900129795.1, s__Flavobacterium sp900129795, 95.0, 77.81, 0.3; GCF_002210235.1, s__Flavobacterium sp002210235, 95.0, 77.8, 0.3; GCF_900100165.1, s__Flavobacterium glycines, 95.0, 77.8, 0.26; GCF_900129545.1, s__Flavobacterium fluvii, 95.0, 77.8, 0.23; GCF_004349355.1, s__Flavobacterium sp004349355, 95.0, 77.77, 0.26; GCF_003202405.1, s__Flavobacterium sp003202405, 95.0, 77.76, 0.27; GCF_000735715.2, s__Flavobacterium chungangense, 95.0, 77.75, 0.27; GCF_003097635.1, s__Flavobacterium sp003097635, 95.0, 77.66, 0.19; GCF_003105115.1, s__Flavobacterium sp003105115, 95.0, 77.65, 0.26	59.84	11	N/A	Genome has more than 11.7% of markers with multiple hits
GL_R59_GL47_UP_1_L5_sub.contigs	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__UBA10887;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	31.57	11	0.962401220109	N/A
GL_R80_GL56_UP_1_G26.contigs	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Yonghaparkia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Yonghaparkia;s__	Placement	taxonomic classification fully defined by topology	GCA_002280615.1, s__Yonghaparkia sp002280615, 95.0, 83.9, 0.53; GCA_001464255.1, s__Yonghaparkia sp001464255, 95.0, 83.86, 0.63; GCA_005778835.1, s__Yonghaparkia sp005778835, 95.0, 81.9, 0.66; GCA_002423075.1, s__Yonghaparkia sp002423075, 95.0, 81.29, 0.5; GCF_001425665.1, s__Yonghaparkia sp001425665, 95.0, 80.39, 0.62; GCF_002813345.1, s__Yonghaparkia sp002813345, 95.0, 80.3, 0.53; GCF_005502445.1, s__Yonghaparkia sp005502445, 95.0, 80.28, 0.52; GCA_002729155.1, s__Yonghaparkia sp002729155, 95.0, 80.25, 0.56; GCA_005777405.1, s__Yonghaparkia sp005777405, 95.0, 79.76, 0.53	81.11	11	0.988870425137	N/A
GL_R2_GL5_UP_2_G16.contigs	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__FW305-bin1;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_004297305.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__FW305-bin1;g__FW305-bin1;s__FW305-bin1 sp004297305	77.26	0.27	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	63.47	11	0.767784748413	N/A
GL_R1_GL5_UP_1_O12.contigs	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__FW305-bin1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.77	11	0.761803517861	N/A
GL_R2_GL5_UP_2_L19.1_sub.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.81	11	0.886010947612	N/A
GL_R2_GL5_UP_2_maxbin_res.077.fasta.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.99	11	0.885746572111	N/A
GL_R80_GL56_UP_1_O7.2.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	45.89	11	0.885294525777	N/A
GL_R81_GL56_UP_2_L10.2.2_sub.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	46.79	11	0.884173614828	N/A
GL_R1_GL5_UP_1_maxbin_res.055.fasta_sub.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	53.27	11	0.88383065605	Genome has more than 11.7% of markers with multiple hits
